ENSMUST00000193198	ENSMUSG00000102628	Gm37671
ENSMUST00000112701	ENSMUSG00000026312	Cdh7
ENSMUST00000129923	ENSMUSG00000026312	Cdh7
ENSMUST00000145188	ENSMUSG00000026312	Cdh7
ENSMUST00000131464	ENSMUSG00000026312	Cdh7
ENSMUST00000146282	ENSMUSG00000026312	Cdh7
ENSMUST00000134301	ENSMUSG00000026312	Cdh7
ENSMUST00000027542	ENSMUSG00000026312	Cdh7
ENSMUST00000172005	ENSMUSG00000026312	Cdh7
ENSMUST00000187425	ENSMUSG00000100290	Gm18552
ENSMUST00000189337	ENSMUSG00000100758	Gm3332
ENSMUST00000189583	ENSMUSG00000099926	Gm6693
ENSMUST00000039725	ENSMUSG00000039748	Exo1
ENSMUST00000195196	ENSMUSG00000039748	Exo1
ENSMUST00000194306	ENSMUSG00000039748	Exo1
ENSMUST00000193822	ENSMUSG00000039748	Exo1
ENSMUST00000193858	ENSMUSG00000039748	Exo1
ENSMUST00000191680	ENSMUSG00000039748	Exo1
ENSMUST00000194636	ENSMUSG00000039748	Exo1
ENSMUST00000193610	ENSMUSG00000039748	Exo1
ENSMUST00000194816	ENSMUSG00000039748	Exo1
ENSMUST00000192378	ENSMUSG00000039748	Exo1
ENSMUST00000180129	ENSMUSG00000118715	Gm23805
ENSMUST00000201297	ENSMUSG00000104158	Becn2
ENSMUST00000194391	ENSMUSG00000104158	Becn2
ENSMUST00000193745	ENSMUSG00000103540	Gm37668
ENSMUST00000126008	ENSMUSG00000057363	Uxs1
ENSMUST00000076997	ENSMUSG00000057363	Uxs1
ENSMUST00000139451	ENSMUSG00000057363	Uxs1
ENSMUST00000136179	ENSMUSG00000057363	Uxs1
ENSMUST00000153317	ENSMUSG00000057363	Uxs1
ENSMUST00000134860	ENSMUSG00000057363	Uxs1
ENSMUST00000136704	ENSMUSG00000057363	Uxs1
ENSMUST00000128261	ENSMUSG00000057363	Uxs1
ENSMUST00000094626	ENSMUSG00000047216	Cdh19
ENSMUST00000187555	ENSMUSG00000047216	Cdh19
ENSMUST00000194910	ENSMUSG00000102788	Gm38255
ENSMUST00000192257	ENSMUSG00000102160	Gm36944
ENSMUST00000189363	ENSMUSG00000101253	Gm29088
ENSMUST00000185792	ENSMUSG00000101846	Gm19927
ENSMUST00000163003	ENSMUSG00000090243	Gm16103
ENSMUST00000191395	ENSMUSG00000100701	Gm19587
ENSMUST00000186797	ENSMUSG00000100555	Gm8173
ENSMUST00000189286	ENSMUSG00000101395	Gm8241
ENSMUST00000192902	ENSMUSG00000102728	Gm37934
ENSMUST00000158223	ENSMUSG00000088848	Gm26352
ENSMUST00020182643	ENSMUSG00002075225	ENSMUSG00002075225
ENSMUST00000186365	ENSMUSG00000038702	Dsel
ENSMUST00000035462	ENSMUSG00000038702	Dsel
ENSMUST00000189731	ENSMUSG00000038702	Dsel
ENSMUST00000189370	ENSMUSG00000038702	Dsel
ENSMUST00000077111	ENSMUSG00000101875	Gm6028
ENSMUST00000185787	ENSMUSG00000099732	Gm17752
ENSMUST00000185549	ENSMUSG00000101220	Gm6717
ENSMUST00000190772	ENSMUSG00000100020	Gm19086
ENSMUST00000185872	ENSMUSG00000101054	Gm18406
ENSMUST00000158066	ENSMUSG00000088691	Gm22331
ENSMUST00000185696	ENSMUSG00000099884	Gm8204
ENSMUST00000189766	ENSMUSG00000100304	Gm28190
ENSMUST00000190085	ENSMUSG00000101453	Gm28189
ENSMUST00000186856	ENSMUSG00000102105	Gm17946
ENSMUST00000190670	ENSMUSG00000099943	Gm18181
ENSMUST00020181757	ENSMUSG00002075119	ENSMUSG00002075119
ENSMUST00000180837	ENSMUSG00000097648	9330185C12Rik
ENSMUST00000185902	ENSMUSG00000101687	Gm4854
ENSMUST00000186137	ENSMUSG00000100515	Gm17916
ENSMUST00000187634	ENSMUSG00000100515	Gm17916
ENSMUST00000189918	ENSMUSG00000100515	Gm17916
ENSMUST00000037796	ENSMUSG00000033021	Gmppa
ENSMUST00000113584	ENSMUSG00000033021	Gmppa
ENSMUST00000145166	ENSMUSG00000033021	Gmppa
ENSMUST00000143730	ENSMUSG00000033021	Gmppa
ENSMUST00000133418	ENSMUSG00000033021	Gmppa
ENSMUST00000144874	ENSMUSG00000033021	Gmppa
ENSMUST00000140287	ENSMUSG00000033021	Gmppa
ENSMUST00000131545	ENSMUSG00000033021	Gmppa
ENSMUST00000141124	ENSMUSG00000033021	Gmppa
ENSMUST00000188097	ENSMUSG00000033021	Gmppa
ENSMUST00000132291	ENSMUSG00000033021	Gmppa
ENSMUST00000135453	ENSMUSG00000033021	Gmppa
ENSMUST00000124539	ENSMUSG00000033021	Gmppa
ENSMUST00000125404	ENSMUSG00000055214	Pld5
ENSMUST00000065967	ENSMUSG00000055214	Pld5
ENSMUST00000156184	ENSMUSG00000055214	Pld5
ENSMUST00000144340	ENSMUSG00000055214	Pld5
ENSMUST00000111166	ENSMUSG00000055214	Pld5
ENSMUST00000111167	ENSMUSG00000055214	Pld5
ENSMUST00000104983	ENSMUSG00000078184	Rbm8a2
ENSMUST00000192680	ENSMUSG00000104363	Gm38081
ENSMUST00000192153	ENSMUSG00000103277	Gm37916
ENSMUST00000193484	ENSMUSG00000104157	Gm38101
ENSMUST00000193904	ENSMUSG00000102446	Gm17965
ENSMUST00000195389	ENSMUSG00000104248	Gm38152
ENSMUST00000194241	ENSMUSG00000104021	Gm36536
ENSMUST00000193453	ENSMUSG00000103471	Gm17966
ENSMUST00000157250	ENSMUSG00000087875	Gm26104
ENSMUST00000113577	ENSMUSG00000033007	Asic4
ENSMUST00000037708	ENSMUSG00000033007	Asic4
ENSMUST00000194916	ENSMUSG00000102605	Gm37264
ENSMUST00000043725	ENSMUSG00000070695	Cntnap5a
ENSMUST00000132064	ENSMUSG00000025909	Sntg1
ENSMUST00000191683	ENSMUSG00000025909	Sntg1
ENSMUST00000140295	ENSMUSG00000025909	Sntg1
ENSMUST00000140302	ENSMUSG00000025909	Sntg1
ENSMUST00000115484	ENSMUSG00000025909	Sntg1
ENSMUST00000135046	ENSMUSG00000025909	Sntg1
ENSMUST00000144593	ENSMUSG00000025909	Sntg1
ENSMUST00000134075	ENSMUSG00000025909	Sntg1
ENSMUST00000194098	ENSMUSG00000025909	Sntg1
ENSMUST00000126083	ENSMUSG00000025909	Sntg1
ENSMUST00000115488	ENSMUSG00000025909	Sntg1
ENSMUST00020182976	ENSMUSG00002076179	ENSMUSG00002076179
ENSMUST00000185884	ENSMUSG00000102033	Gm28263
ENSMUST00000192338	ENSMUSG00000102647	Gm38024
ENSMUST00000140995	ENSMUSG00000086235	Gm16284
ENSMUST00000194602	ENSMUSG00000102253	Gm38259
ENSMUST00020182074	ENSMUSG00002074990	ENSMUSG00002074990
ENSMUST00000179777	ENSMUSG00000094429	Gm19965
ENSMUST00000189740	ENSMUSG00000101154	Gm17777
ENSMUST00000193281	ENSMUSG00000103884	Gm37005
ENSMUST00000083931	ENSMUSG00000065865	Gm24030
ENSMUST00000119877	ENSMUSG00000084353	Gm15452
ENSMUST00020182251	ENSMUSG00002076328	ENSMUSG00002076328
ENSMUST00000191876	ENSMUSG00000103933	Gm36964
ENSMUST00000188825	ENSMUSG00000101573	Gm28361
ENSMUST00020182635	ENSMUSG00002075967	ENSMUSG00002075967
ENSMUST00000151704	ENSMUSG00000086195	Gm6152
ENSMUST00000204773	ENSMUSG00000107979	Zfp813-ps
ENSMUST00000186652	ENSMUSG00000101373	Zfp813-ps
ENSMUST00000192115	ENSMUSG00000104504	Gm7445
ENSMUST00000189430	ENSMUSG00000099615	Gm28362
ENSMUST00000085919	ENSMUSG00000066693	Gm7493
ENSMUST00000193635	ENSMUSG00000102316	Gm37629
ENSMUST00000186341	ENSMUSG00000100265	Gm28363
ENSMUST00000195333	ENSMUSG00000103819	Gm38008
ENSMUST00000187470	ENSMUSG00000100527	Gm28359
ENSMUST00000195180	ENSMUSG00000102871	Gm37143
ENSMUST00000191380	ENSMUSG00000099571	Gm18182
ENSMUST00000040649	ENSMUSG00000101571	Gm6187
ENSMUST00000192026	ENSMUSG00000104428	Gm18299
ENSMUST00000188801	ENSMUSG00000101303	B020011L13Rik
ENSMUST00000195217	ENSMUSG00000102272	Gm7512
ENSMUST00000187455	ENSMUSG00000100305	Gm28360
ENSMUST00000083691	ENSMUSG00000065625	Gm24765
ENSMUST00000190342	ENSMUSG00000099534	Gm28169
ENSMUST00000192792	ENSMUSG00000103411	Gm18300
ENSMUST00000190869	ENSMUSG00000100886	Gm7195
ENSMUST00000191265	ENSMUSG00000101415	Gm28168
ENSMUST00000072079	ENSMUSG00000061024	Rrs1
ENSMUST00000185381	ENSMUSG00000100617	Gm7145
ENSMUST00000187860	ENSMUSG00000100703	Gm28358
ENSMUST00000189292	ENSMUSG00000100703	Gm28358
ENSMUST00000188934	ENSMUSG00000100177	Gm29489
ENSMUST00000190923	ENSMUSG00000101363	Gm29490
ENSMUST00000186304	ENSMUSG00000101590	Gm29104
ENSMUST00000186264	ENSMUSG00000102030	Gm29106
ENSMUST00000188426	ENSMUSG00000099870	Gm7200
ENSMUST00000027623	ENSMUSG00000026374	Tsn
ENSMUST00000186608	ENSMUSG00000026374	Tsn
ENSMUST00000188512	ENSMUSG00000026374	Tsn
ENSMUST00000189768	ENSMUSG00000026374	Tsn
ENSMUST00000188882	ENSMUSG00000026374	Tsn
ENSMUST00000186163	ENSMUSG00000026374	Tsn
ENSMUST00000027626	ENSMUSG00000026377	Nifk
ENSMUST00000112688	ENSMUSG00000026377	Nifk
ENSMUST00000161495	ENSMUSG00000026377	Nifk
ENSMUST00000190194	ENSMUSG00000099936	Gm28867
ENSMUST00000144177	ENSMUSG00000025911	Adhfe1
ENSMUST00000027044	ENSMUSG00000025911	Adhfe1
ENSMUST00000130927	ENSMUSG00000025911	Adhfe1
ENSMUST00000186467	ENSMUSG00000025911	Adhfe1
ENSMUST00000190654	ENSMUSG00000025911	Adhfe1
ENSMUST00000115480	ENSMUSG00000079671	2610203C22Rik
ENSMUST00000145176	ENSMUSG00000079671	2610203C22Rik
ENSMUST00000148585	ENSMUSG00000079671	2610203C22Rik
ENSMUST00000153239	ENSMUSG00000079671	2610203C22Rik
ENSMUST00000148310	ENSMUSG00000079671	2610203C22Rik
ENSMUST00000121942	ENSMUSG00000081441	Gm6161
ENSMUST00000088666	ENSMUSG00000067879	Vxn
ENSMUST00000191209	ENSMUSG00000099827	Gm29520
ENSMUST00000192664	ENSMUSG00000057335	Cep170
ENSMUST00000195717	ENSMUSG00000057335	Cep170
ENSMUST00000194727	ENSMUSG00000057335	Cep170
ENSMUST00000194489	ENSMUSG00000057335	Cep170
ENSMUST00000192927	ENSMUSG00000057335	Cep170
ENSMUST00000195433	ENSMUSG00000057335	Cep170
ENSMUST00000192991	ENSMUSG00000057335	Cep170
ENSMUST00000194984	ENSMUSG00000057335	Cep170
ENSMUST00000193765	ENSMUSG00000057335	Cep170
ENSMUST00000193098	ENSMUSG00000057335	Cep170
ENSMUST00000194371	ENSMUSG00000057335	Cep170
ENSMUST00000192961	ENSMUSG00000057335	Cep170
ENSMUST00000192643	ENSMUSG00000057335	Cep170
ENSMUST00000194263	ENSMUSG00000057335	Cep170
ENSMUST00000057037	ENSMUSG00000057335	Cep170
ENSMUST00000192113	ENSMUSG00000103634	3110062G12Rik
ENSMUST00000195121	ENSMUSG00000104154	Gm38104
ENSMUST00000195463	ENSMUSG00000103435	Gm36992
ENSMUST00000083639	ENSMUSG00000065573	Mir350
ENSMUST00020182596	ENSMUSG00002076271	7SK
ENSMUST00000187109	ENSMUSG00000100551	Gm19503
ENSMUST00000191460	ENSMUSG00000100357	Gm28181
ENSMUST00000088658	ENSMUSG00000025912	Mybl1
ENSMUST00000115468	ENSMUSG00000025912	Mybl1
ENSMUST00000160022	ENSMUSG00000025912	Mybl1
ENSMUST00000160451	ENSMUSG00000025912	Mybl1
ENSMUST00000188212	ENSMUSG00000025912	Mybl1
ENSMUST00000057438	ENSMUSG00000045210	Vcpip1
ENSMUST00000185579	ENSMUSG00000041763	Tpp2
ENSMUST00000087933	ENSMUSG00000041763	Tpp2
ENSMUST00000190401	ENSMUSG00000041763	Tpp2
ENSMUST00000186028	ENSMUSG00000041763	Tpp2
ENSMUST00000188313	ENSMUSG00000041763	Tpp2
ENSMUST00000188302	ENSMUSG00000041763	Tpp2
ENSMUST00000189388	ENSMUSG00000041763	Tpp2
ENSMUST00000186441	ENSMUSG00000041763	Tpp2
ENSMUST00000190207	ENSMUSG00000041763	Tpp2
ENSMUST00000187115	ENSMUSG00000041763	Tpp2
ENSMUST00000181821	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000181358	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000191287	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000189431	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000207445	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000209020	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000189322	ENSMUSG00000097893	1700034P13Rik
ENSMUST00000150429	ENSMUSG00000026504	Sdccag8
ENSMUST00000056773	ENSMUSG00000026504	Sdccag8
ENSMUST00000133305	ENSMUSG00000026504	Sdccag8
ENSMUST00000027785	ENSMUSG00000026504	Sdccag8
ENSMUST00000123409	ENSMUSG00000026504	Sdccag8
ENSMUST00000139589	ENSMUSG00000026504	Sdccag8
ENSMUST00000194617	ENSMUSG00000103367	Gm38158
ENSMUST00000193938	ENSMUSG00000103584	Gm38053
ENSMUST00020183251	ENSMUSG00002076339	ENSMUSG00002076339
ENSMUST00000192665	ENSMUSG00000102475	Gm37246
ENSMUST00000061421	ENSMUSG00000047343	Mettl21c
ENSMUST00000162750	ENSMUSG00000047343	Mettl21c
ENSMUST00000159881	ENSMUSG00000047343	Mettl21c
ENSMUST00000195566	ENSMUSG00000102211	Gm37490
ENSMUST00000150600	ENSMUSG00000087082	Gm15423
ENSMUST00000161575	ENSMUSG00000090106	Gm15838
ENSMUST00000191687	ENSMUSG00000103251	Gm37519
ENSMUST00000238662	ENSMUSG00000091844	Gm8251
ENSMUST00000168641	ENSMUSG00000091844	Gm8251
ENSMUST00000148810	ENSMUSG00000026483	Niban1
ENSMUST00000097541	ENSMUSG00000026483	Niban1
ENSMUST00000086267	ENSMUSG00000026483	Niban1
ENSMUST00000111875	ENSMUSG00000026483	Niban1
ENSMUST00000134499	ENSMUSG00000026483	Niban1
ENSMUST00000186444	ENSMUSG00000100594	2810414N06Rik
ENSMUST00000120832	ENSMUSG00000082528	Gm15182
ENSMUST00000121823	ENSMUSG00000082012	Gm5257
ENSMUST00000188786	ENSMUSG00000099996	Gm29065
ENSMUST00000191607	ENSMUSG00000101763	Gm29068
ENSMUST00000185857	ENSMUSG00000100827	Gm29069
ENSMUST00000190362	ENSMUSG00000100553	Gm17751
ENSMUST00000189132	ENSMUSG00000100553	Gm17751
ENSMUST00000183584	ENSMUSG00000098611	Mir6343
ENSMUST00000191156	ENSMUSG00000100534	Gm816
ENSMUST00000193479	ENSMUSG00000102904	Gm38265
ENSMUST00020182242	ENSMUSG00002076350	5S_rRNA
ENSMUST00000019843	ENSMUSG00000019699	Akt3
ENSMUST00000111159	ENSMUSG00000019699	Akt3
ENSMUST00000211158	ENSMUSG00000019699	Akt3
ENSMUST00000111160	ENSMUSG00000019699	Akt3
ENSMUST00000192402	ENSMUSG00000104391	Gm37960
ENSMUST00000193760	ENSMUSG00000102133	Gm37106
ENSMUST00000194506	ENSMUSG00000102749	Gm37598
ENSMUST00000194121	ENSMUSG00000103163	Gm38146
ENSMUST00000195379	ENSMUSG00000103646	Gm37706
ENSMUST00000193819	ENSMUSG00000102427	Gm37463
ENSMUST00000195582	ENSMUSG00000103633	Gm38328
ENSMUST00000193187	ENSMUSG00000097892	Gm26801
ENSMUST00000180591	ENSMUSG00000097892	Gm26801
ENSMUST00000195002	ENSMUSG00000063659	Zbtb18
ENSMUST00000195549	ENSMUSG00000063659	Zbtb18
ENSMUST00000194319	ENSMUSG00000063659	Zbtb18
ENSMUST00000192699	ENSMUSG00000063659	Zbtb18
ENSMUST00000094276	ENSMUSG00000063659	Zbtb18
ENSMUST00000192851	ENSMUSG00000063659	Zbtb18
ENSMUST00000193480	ENSMUSG00000063659	Zbtb18
ENSMUST00000195388	ENSMUSG00000063659	Zbtb18
ENSMUST00000193440	ENSMUSG00000063659	Zbtb18
ENSMUST00000195612	ENSMUSG00000063659	Zbtb18
ENSMUST00000194269	ENSMUSG00000063659	Zbtb18
ENSMUST00000077225	ENSMUSG00000063659	Zbtb18
ENSMUST00000191905	ENSMUSG00000102432	Gm29856
ENSMUST00000192282	ENSMUSG00000102432	Gm29856
ENSMUST00000193447	ENSMUSG00000103043	Gm37306
ENSMUST00000194583	ENSMUSG00000102885	Gm37280
ENSMUST00000027215	ENSMUSG00000026049	Tex30
ENSMUST00000156392	ENSMUSG00000026049	Tex30
ENSMUST00000128190	ENSMUSG00000026049	Tex30
ENSMUST00000147571	ENSMUSG00000026049	Tex30
ENSMUST00000133677	ENSMUSG00000026049	Tex30
ENSMUST00000150911	ENSMUSG00000026049	Tex30
ENSMUST00000152239	ENSMUSG00000026049	Tex30
ENSMUST00000129702	ENSMUSG00000026049	Tex30
ENSMUST00000147661	ENSMUSG00000026049	Tex30
ENSMUST00000127923	ENSMUSG00000026049	Tex30
ENSMUST00000143327	ENSMUSG00000026049	Tex30
ENSMUST00000149502	ENSMUSG00000026049	Tex30
ENSMUST00000125540	ENSMUSG00000026049	Tex30
ENSMUST00000192759	ENSMUSG00000103767	Gm37858
ENSMUST00000189507	ENSMUSG00000101746	2310043L19Rik
ENSMUST00000188145	ENSMUSG00000043019	Edem3
ENSMUST00000059498	ENSMUSG00000043019	Edem3
ENSMUST00000187951	ENSMUSG00000043019	Edem3
ENSMUST00000191070	ENSMUSG00000043019	Edem3
ENSMUST00000148542	ENSMUSG00000101104	Gm29247
ENSMUST00000134195	ENSMUSG00000101104	Gm29247
ENSMUST00000016106	ENSMUSG00000015962	1700016C15Rik
ENSMUST00000187603	ENSMUSG00000032666	1700025G04Rik
ENSMUST00000044581	ENSMUSG00000032666	1700025G04Rik
ENSMUST00000128433	ENSMUSG00000032666	1700025G04Rik
ENSMUST00000121533	ENSMUSG00000032666	1700025G04Rik
ENSMUST00000122608	ENSMUSG00000084557	Gm25279
ENSMUST00000187716	ENSMUSG00000100685	Gm28610
ENSMUST00000165944	ENSMUSG00000102090	Gm8964
ENSMUST00000194334	ENSMUSG00000103744	Gm38238
ENSMUST00000016105	ENSMUSG00000015961	Adss
ENSMUST00000161808	ENSMUSG00000015961	Adss
ENSMUST00000159184	ENSMUSG00000015961	Adss
ENSMUST00000161442	ENSMUSG00000089657	Gm16585
ENSMUST00000194528	ENSMUSG00000102483	Catspere1
ENSMUST00000015124	ENSMUSG00000014980	Tsen15
ENSMUST00000161717	ENSMUSG00000014980	Tsen15
ENSMUST00000162371	ENSMUSG00000014980	Tsen15
ENSMUST00000159270	ENSMUSG00000014980	Tsen15
ENSMUST00000159717	ENSMUSG00000014980	Tsen15
ENSMUST00000163027	ENSMUSG00000014980	Tsen15
ENSMUST00000188105	ENSMUSG00000014980	Tsen15
ENSMUST00000188952	ENSMUSG00000026235	Epha4
ENSMUST00000188797	ENSMUSG00000026235	Epha4
ENSMUST00000187346	ENSMUSG00000026235	Epha4
ENSMUST00000190149	ENSMUSG00000026235	Epha4
ENSMUST00000189934	ENSMUSG00000026235	Epha4
ENSMUST00000186930	ENSMUSG00000026235	Epha4
ENSMUST00000027451	ENSMUSG00000026235	Epha4
ENSMUST00000184495	ENSMUSG00000099141	Mir6352
ENSMUST00000127586	ENSMUSG00000032649	Colgalt2
ENSMUST00000044311	ENSMUSG00000032649	Colgalt2
ENSMUST00000189147	ENSMUSG00000101849	Gm28386
ENSMUST00000185671	ENSMUSG00000101506	Gm28385
ENSMUST00000083281	ENSMUSG00000065215	Gm26263
ENSMUST00000189245	ENSMUSG00000102052	Gm28387
ENSMUST00000065767	ENSMUSG00000026047	Poglut2
ENSMUST00000141125	ENSMUSG00000026047	Poglut2
ENSMUST00000027213	ENSMUSG00000026047	Poglut2
ENSMUST00000149665	ENSMUSG00000026047	Poglut2
ENSMUST00000152643	ENSMUSG00000026047	Poglut2
ENSMUST00000121610	ENSMUSG00000080878	Btf3-ps14
ENSMUST00000191719	ENSMUSG00000091476	Catspere2
ENSMUST00000094273	ENSMUSG00000091476	Catspere2
ENSMUST00000239149	ENSMUSG00000091476	Catspere2
ENSMUST00000192146	ENSMUSG00000091476	Catspere2
ENSMUST00000238506	ENSMUSG00000091476	Catspere2
ENSMUST00000239155	ENSMUSG00000091476	Catspere2
ENSMUST00000191673	ENSMUSG00000104097	Gm37313
ENSMUST00000240272	ENSMUSG00000119789	Gm25312
ENSMUST00000194128	ENSMUSG00000102493	Gm8010
ENSMUST00000004994	ENSMUSG00000004872	Pax3
ENSMUST00000087086	ENSMUSG00000004872	Pax3
ENSMUST00000172555	ENSMUSG00000004872	Pax3
ENSMUST00000238744	ENSMUSG00000118426	Gm2102
ENSMUST00000155917	ENSMUSG00000041684	Bivm
ENSMUST00000138521	ENSMUSG00000041684	Bivm
ENSMUST00000035991	ENSMUSG00000041684	Bivm
ENSMUST00000186280	ENSMUSG00000041684	Bivm
ENSMUST00000114709	ENSMUSG00000041684	Bivm
ENSMUST00000129068	ENSMUSG00000041684	Bivm
ENSMUST00000036172	ENSMUSG00000032908	Sgpp2
ENSMUST00000188113	ENSMUSG00000099561	Gm28410
ENSMUST00000191857	ENSMUSG00000102945	Gm37884
ENSMUST00000161075	ENSMUSG00000026502	Desi2
ENSMUST00000027783	ENSMUSG00000026502	Desi2
ENSMUST00000159284	ENSMUSG00000026502	Desi2
ENSMUST00000069568	ENSMUSG00000026502	Desi2
ENSMUST00000195298	ENSMUSG00000103958	Gm8023
ENSMUST00000192920	ENSMUSG00000070489	4930527J03Rik
ENSMUST00000094270	ENSMUSG00000070489	4930527J03Rik
ENSMUST00000195663	ENSMUSG00000104126	Gm37486
ENSMUST00000141846	ENSMUSG00000086350	B230369F24Rik
ENSMUST00000027781	ENSMUSG00000026500	Cox20
ENSMUST00000154437	ENSMUSG00000026500	Cox20
ENSMUST00000188376	ENSMUSG00000026048	Ercc5
ENSMUST00000027214	ENSMUSG00000026048	Ercc5
ENSMUST00000131177	ENSMUSG00000026048	Ercc5
ENSMUST00000139510	ENSMUSG00000026048	Ercc5
ENSMUST00000145406	ENSMUSG00000026048	Ercc5
ENSMUST00000137380	ENSMUSG00000026048	Ercc5
ENSMUST00000155862	ENSMUSG00000026048	Ercc5
ENSMUST00000054801	ENSMUSG00000046828	Mettl21e
ENSMUST00000150062	ENSMUSG00000046828	Mettl21e
ENSMUST00000161563	ENSMUSG00000089703	Gm15833
ENSMUST00000191483	ENSMUSG00000100966	Gm5700
ENSMUST00000190951	ENSMUSG00000100769	Gm28893
ENSMUST00000186385	ENSMUSG00000101567	Txn-ps1
ENSMUST00000170217	ENSMUSG00000026245	Farsb
ENSMUST00000068333	ENSMUSG00000026245	Farsb
ENSMUST00000189529	ENSMUSG00000026245	Farsb
ENSMUST00000188247	ENSMUSG00000026245	Farsb
ENSMUST00000189931	ENSMUSG00000026245	Farsb
ENSMUST00000190441	ENSMUSG00000026245	Farsb
ENSMUST00000191021	ENSMUSG00000026245	Farsb
ENSMUST00000186625	ENSMUSG00000101798	Gm28995
ENSMUST00000195509	ENSMUSG00000104018	4833412K13Rik
ENSMUST00000170511	ENSMUSG00000090486	BC035947
ENSMUST00000190853	ENSMUSG00000090486	BC035947
ENSMUST00000111859	ENSMUSG00000026482	Rgl1
ENSMUST00000027760	ENSMUSG00000026482	Rgl1
ENSMUST00000111857	ENSMUSG00000026482	Rgl1
ENSMUST00000188395	ENSMUSG00000026482	Rgl1
ENSMUST00000128251	ENSMUSG00000026482	Rgl1
ENSMUST00000149536	ENSMUSG00000026482	Rgl1
ENSMUST00000139309	ENSMUSG00000086145	Gm15479
ENSMUST00000119836	ENSMUSG00000080950	Gm7278
ENSMUST00000191482	ENSMUSG00000099868	Gm28792
ENSMUST00000068875	ENSMUSG00000055547	Apobec4
ENSMUST00000113524	ENSMUSG00000012187	Mogat1
ENSMUST00000134947	ENSMUSG00000012187	Mogat1
ENSMUST00000149732	ENSMUSG00000012187	Mogat1
ENSMUST00000152111	ENSMUSG00000012187	Mogat1
ENSMUST00000125458	ENSMUSG00000012187	Mogat1
ENSMUST00000012331	ENSMUSG00000012187	Mogat1
ENSMUST00000077755	ENSMUSG00000008475	Arpc5
ENSMUST00000097536	ENSMUSG00000008475	Arpc5
ENSMUST00000143008	ENSMUSG00000008475	Arpc5
ENSMUST00000190504	ENSMUSG00000099364	5730419F03Rik
ENSMUST00000186132	ENSMUSG00000100562	Gm29611
ENSMUST00000074525	ENSMUSG00000056870	Gulp1
ENSMUST00000160854	ENSMUSG00000056870	Gulp1
